Top Level Genres,Genres,Sub-Genres,Visuals & Viewpoint,Themes & Moods,Features,Players,Other Tags -- not important,Assessments,Ratings,,
,Skating,Time Management,,Memes,Text-Based,,,,,,
,Skiing,Top-Down Shooter,,Military,Time Manipulation,,,,,,
,Snowboarding,Trading,,Modern,Trading,,,,,,
,Soccer,Trading Card Game,,Motorbike,Turn-Based Combat,,,,,,
,Space Sim,Traditional Roguelike,,Mystery,Turn-Based Tactics,,,,,,
,Stealth,Turn-Based Tactics,,Mythology,Tutorial,,,,,,
,Strategy RPG,Twin Stick Shooter,,Nature,Vehicular Combat,,,,,,
,Survival,Typing,,Naval,Female Protagonist,,,,,,
,Tennis,Wargame,,Ninja,Silent Protagonist,,,,,,
,Tower Defense,,,Offroad,Villain Protagonist,,,,,,
,Trivia,,,Old School,Minigames,,,,,,
,Turn-Based Strategy,,,Otome,Intentionally Awkward Controls,,,,,,
,Visual Novel,,,Parkour,,,,,,,
,Walking Simulator,,,Philosophical,,,,,,,
,Word Game,,,Pirates,,,,,,,
,Wrestling,,,Political,,,,,,,
,,,,Politics,,,,,,,
,,,,Pool,,,,,,,
,,,,Post-apocalyptic,,,,,,,
,,,,Programming,,,,,,,
,,,,Retro,,,,,,,
,,,,Robots,,,,,,,
,,,,Romance,,,,,,,
,,,,Rome,,,,,,,
,,,,Satire,,,,,,,
,,,,Science,,,,,,,
,,,,Sci-fi,,,,,,,
,,,,Sniper,,,,,,,
,,,,Snow,,,,,,,
,,,,Space,,,,,,,
,,,,Stealth,,,,,,,
,,,,Steampunk,,,,,,,
,,,,Submarine,,,,,,,
,,,,Superhero,,,,,,,
,,,,Supernatural,,,,,,,
,,,,Surreal,,,,,,,
,,,,Survival,,,,,,,
,,,,Swordplay,,,,,,,
,,,,Tactical,,,,,,,
,,,,Tanks,,,,,,,
,,,,Thriller,,,,,,,
,,,,Time Travel,,,,,,,
,,,,Trains,,,,,,,
,,,,Transhumanism,,,,,,,
,,,,Transportation,,,,,,,
,,,,Underground,,,,,,,
,,,,Underwater,,,,,,,
,,,,Vampire,,,,,,,
,,,,War,,,,,,,
,,,,Werewolves,,,,,,,
,,,,Western,,,,,,,
,,,,World War I,,,,,,,
,,,,World War II,,,,,,,
